# HR	designation	proper name
# designations from the Yale BSC5 (bytes 5-14); proper names are a
# curated subset -- a blank third column just means no common name
# is carried here, the designation is still authoritative.
3	33 Psc	
4	86 Peg	
7	10 Cas	
15	Alp And	Alpheratz
21	Bet Cas	Caph
22	87 Peg	
24	Kap Scl	
25	Eps Phe	
26	34 Psc	
27	22 And	
30	Gam Oct	
33	6 Cet	
34	Kap Scl	
35	The Scl	
39	Gam Peg	Algenib
41	23 And	
45	Chi Peg	
48	7 Cet	
50	35 Psc	
59	36 Psc	
63	The And	
68	Sig And	
70	26 And	
74	Iot Cet	
77	Zet Tuc	
80	41 Psc	
82	Rho And	
83	Pi Tuc	
84	Iot Scl	
86	42 Psc	
88	9 Cet	
92	VA 572	
93	12 Cas	
95	47 Tuc	
97	44 Psc	
98	Bet Hyi	
99	Alp Phe	Ankaa
100	Kap Phe	
101	10 Cet	
103	47 Psc	
105	Eta Scl	
106	48 Psc	
114	28 And	
117	12 Cet	
121	13 Cas	
123	Lam Cas	
125	Lam Phe	
126	Bet Tuc	
127	Bet Tuc	
130	Kap Cas	
131	52 Psc	
132	51 Psc	
136	Bet Tuc	
137	16 Cas	
139	The Tuc	
142	13 Cet	
143	14 Cet	
147	Lam Phe	
153	Zet Cas	
154	Pi And	
155	53 Psc	
163	Eps And	
165	Del And	
166	54 Psc	
167	55 Psc	
168	Alp Cas	Schedar
175	32 And	
179	Xi Cas	
180	Mu Phe	
182	31 And	
183	Xi Phe	
184	Pi Cas	
185	Lam Scl	
187	Rho Tuc	
188	Bet Cet	Diphda
191	Eta Phe	
192	21 Cas	
193	Omi Cas	
194	Phi Cet	
195	Lam Scl	
203	18 Cet	
208	23 Cas	
211	57 Psc	
213	58 Psc	
214	59 Psc	
215	Zet And	
216	60 Psc	
217	61 Psc	
219	Eta Cas	
221	62 Psc	
223	Nu Cas	
224	Del Psc	
225	64 Psc	
226	Nu And	
230	65 Psc	
231	65 Psc	
235	Phi Cet	
236	Lam Hyi	
242	Rho Phe	
248	20 Cet	
252	Lam Tuc	
253	Ups Cas	
254	66 Psc	
255	21 Cet	
258	36 And	
262	67 Psc	
264	Gam Cas	
265	Ups Cas	
267	Phi Cet	
269	Mu And	
270	Lam Tuc	
271	Eta And	
274	68 Psc	
279	Phi Cet	
280	Alp Scl	
288	Xi Scl	
290	39 And	
291	Sig Psc	
293	Sig Scl	
294	Eps Psc	
295	Ome Phe	
296	25 Cet	
301	26 Cet	
307	73 Psc	
308	72 Psc	
310	Psi Psc	
311	Psi Psc	
313	77 Psc	
314	77 Psc	
315	27 Cet	
317	28 Cet	
319	75 Psc	
321	Mu Cas	
322	Bet Phe	
324	41 And	
327	78 Psc	
328	Psi Psc	
329	30 Cet	
330	80 Psc	
331	Ups Phe	
332	Iot Tuc	
334	Eta Cet	
335	Phi And	
336	31 Cas	
337	Bet And	
338	Zet Phe	
339	Psi Psc	
340	44 And	
343	The Cas	
345	32 Cas	
346	32 Cet	
347	33 Cet	
348	45 And	
349	82 Psc	
351	Chi Psc	
352	Tau Psc	
353	34 Cet	
360	Phi Psc	
361	Zet Psc	
362	Zet Psc	
364	87 Psc	
366	37 Cet	
367	88 Psc	
368	38 Cet	
370	Nu Phe	
373	39 Cet	
377	Kap Tuc	
378	89 Psc	
382	Phi Cas	
383	Ups Psc	
384	35 Cas	
385	42 Cet	
389	91 Psc	
390	Xi And	
393	43 Cet	
395	47 And	
399	Psi Cas	
401	44 Cet	
402	The Cet	
403	Del Cas	
412	46 Cet	
413	Rho Psc	
414	94 Psc	
417	Ome And	
421	47 Cet	
424	Alp UMi	Polaris
427	38 Cas	
429	Gam Phe	
430	49 And	
432	97 Psc	
433	48 Cet	
434	Mu Psc	
437	Eta Psc	
440	Del Phe	
442	Chi Cas	
451	49 Cet	
455	101 Psc	
456	40 Cas	
458	Ups And	
459	50 Cet	
462	Tau Scl	
463	Pi Psc	
464	51 And	
469	Chi And	
472	Alp Eri	Achernar
475	105 Psc	
477	Tau And	
478	43 Cas	
480	42 Cas	
489	Nu Psc	
491	44 Cas	
493	107 Psc	
496	Phi Per	
497	Pi Scl	
508	109 Psc	
509	Tau Cet	
510	Omi Psc	
514	Eps Scl	
516	Tau Hyi	
522	4 Ari	
530	1 Ari	
531	Chi Cet	
533	1 Per	
536	2 Per	
539	Zet Cet	
542	Eps Cas	
543	55 And	
544	Alp Tri	Mothallah
545	Gam Ari	
546	Gam Ari	
548	Ome Cas	
549	Xi Psc	
550	Tau Hyi	
553	Bet Ari	Sheratan
555	Psi Phe	
557	56 And	
558	Phi Phe	
559	7 Ari	
563	Iot Ari	
565	56 Cet	
566	Chi Eri	
568	3 Per	
569	Lam Ari	
570	Eta Hyi	
575	48 Cas	
580	50 Cas	
